Link Name,Center of Mass X,Center of Mass Y,Center of Mass Z,Center of Mass Roll,Center of Mass Pitch,Center of Mass Yaw,Mass,Moment Ixx,Moment Ixy,Moment Ixz,Moment Iyy,Moment Iyz,Moment Izz,Visual X,Visual Y,Visual Z,Visual Roll,Visual Pitch,Visual Yaw,Mesh Filename,Color Red,Color Green,Color Blue,Color Alpha,Collision X,Collision Y,Collision Z,Collision Roll,Collision Pitch,Collision Yaw,Collision Mesh Filename,Material Name,SW Components,Coordinate System,Axis Name,Joint Name,Joint Type,Joint Origin X,Joint Origin Y,Joint Origin Z,Joint Origin Roll,Joint Origin Pitch,Joint Origin Yaw,Parent,Joint Axis X,Joint Axis Y,Joint Axis Z,Limit Effort,Limit Velocity,Limit Lower,Limit Upper,Calibration rising,Calibration falling,Dynamics Damping,Dynamics Friction,Safety Soft Upper,Safety Soft Lower,Safety K Position,Safety K Velocity
base_link,-0.00422764280334081,-0.000495243786199771,0.147574810896148,0,0,0,2.32207866040289,0.00180009498439475,-1.81936734152945E-06,-1.59040671114501E-07,0.00502036371541616,4.36821026242377E-08,0.0056475836896336,0,0,0,0,0,0,package://uam_v4/meshes/base_link.STL,0.752941176470588,0.752941176470588,0.752941176470588,1,0,0,0,0,0,0,package://uam_v4/meshes/base_link.STL,,机体v4^无人机_3自由度机械臂v4_urdf-1,坐标系4,,,,0,0,0,0,0,0,,0,0,0,,,,,,,,,,,,
rotor_0,-1.66533453693773E-16,-2.63677968348475E-15,0.007745381075806,0,0,0,0.0122180733548527,4.11052092104751E-05,4.38944914409016E-07,4.61614203792899E-22,2.42868537471172E-07,-3.84514294436422E-20,4.12274017010663E-05,0,0,0,0,0,0,package://uam_v4/meshes/rotor_0.STL,1,1,1,1,0,0,0,0,0,0,package://uam_v4/meshes/rotor_0.STL,,逆时针螺旋浆-1,坐标系0,基准轴0,rotor_0_joint,continuous,0.211683740803308,-0.211683740803383,0.228940602850063,0,0,0,base_link,0,0,1,,,,,,,,,,,,
rotor_1,9.71445146547012E-17,2.52575738102223E-15,0.007745381075806,0,0,0,0.0122180733548527,4.1105209210475E-05,4.38944914407811E-07,-5.9089071539486E-22,2.42868537471147E-07,4.01887528920679E-20,4.12274017010662E-05,0,0,0,0,0,0,package://uam_v4/meshes/rotor_1.STL,1,1,1,1,0,0,0,0,0,0,package://uam_v4/meshes/rotor_1.STL,,逆时针螺旋浆-2,坐标系1,基准轴1,rotor_1_joint,continuous,-0.21168374080335,0.211683740803422,0.228940602850063,0,0,0,base_link,0,0,1,,,,,,,,,,,,
rotor_2,-5.55111512312578E-17,-3.05311331771918E-15,0.00794551809557664,0,0,0,0.0124111190115128,4.08079645341863E-05,-4.54054587289077E-07,-6.67183087142907E-22,2.70120120516135E-07,-2.26487515398547E-20,4.09135518419992E-05,0,0,0,0,0,0,package://uam_v4/meshes/rotor_2.STL,1,1,1,1,0,0,0,0,0,0,package://uam_v4/meshes/rotor_2.STL,,顺时针螺旋浆-1,坐标系2,基准轴2,rotor_2_joint,continuous,0.211683740803408,0.211683740803337,0.228940602850063,0,0,0,base_link,0,0,1,,,,,,,,,,,,
rotor_3,5.55111512312578E-17,2.33146835171283E-15,0.00794551809557659,0,0,0,0.0124111190115128,4.08079645341861E-05,-4.54054587290244E-07,1.8402674076173E-22,2.70120120516164E-07,2.95967351873587E-20,4.0913551841999E-05,0,0,0,0,0,0,package://uam_v4/meshes/rotor_3.STL,1,1,1,1,0,0,0,0,0,0,package://uam_v4/meshes/rotor_3.STL,,顺时针螺旋浆-2,坐标系3,基准轴3,rotor_3_joint,continuous,-0.211683740803383,-0.211683740803297,0.228940602850063,0,0,0,base_link,0,0,1,,,,,,,,,,,,
arm_link1,7.35794299480952E-05,0.00843580722065113,0.0340914087566537,0,0,0,0.166296477270892,7.86213909175413E-05,1.54858969341524E-07,-1.96460979663402E-08,9.12026717861097E-05,-7.73924862902123E-07,0.000111470178150326,0,0,0,0,0,0,package://uam_v4/meshes/arm_link1.STL,0.752941176470588,0.752941176470588,0.752941176470588,1,0,0,0,0,0,0,package://uam_v4/meshes/arm_link1.STL,,arm1^无人机_3自由度机械臂v4_urdf-1,坐标系5,基准轴5,arm_joint1,continuous,0.103999999999998,0,0.101940602850063,3.14159265358979,0,0,base_link,0,0,1,,,,,,,,,,,,
arm_link2,0.0815658400724571,-4.95444100039009E-05,0.00710724731825424,0,0,0,0.245204430417896,6.22281288049107E-05,4.19415683803045E-08,-1.53314701215051E-07,0.000152744089265288,3.04125654013491E-08,0.000145559188165797,0,0,0,0,0,0,package://uam_v4/meshes/arm_link2.STL,0.752941176470588,0.752941176470588,0.752941176470588,1,0,0,0,0,0,0,package://uam_v4/meshes/arm_link2.STL,,arm2^无人机_3自由度机械臂v4_urdf-1,坐标系6,基准轴6,arm_joint2,continuous,0,0,0.0529999999999987,-1.5707963267949,0,0,arm_link1,0,0,1,,,,,,,,,,,,
left_hand_link,0.0258239262404121,-0.00100000000000016,-0.00633684878942026,0,0,0,0.0027262467987465,8.68470340162702E-08,-2.18033540773639E-22,1.21401983404051E-07,9.18517761262029E-07,-5.81332554266544E-24,8.60868762466029E-07,0,0,0,0,0,0,package://uam_v4/meshes/left_hand_link.STL,0.0588235294117647,0.705882352941176,1,1,0,0,0,0,0,0,package://uam_v4/meshes/left_hand_link.STL,,抓手-2,坐标系10,基准轴9,left_hand_joint,prismatic,0.18,0.001,-0.0005,0,0,0,arm_link2,0,0,1,0,0,0,0,,,,,,,,
right_hand_link,0.0258239262404119,-0.00100000000000014,0.00633684878942026,0,0,0,0.00272624679874649,8.684703401627E-08,-4.00990390699294E-22,-1.21401983404051E-07,9.18517761262023E-07,8.83026486623953E-23,8.60868762466023E-07,0,0,0,0,0,0,package://uam_v4/meshes/right_hand_link.STL,0.0588235294117647,0.705882352941176,1,1,0,0,0,0,0,0,package://uam_v4/meshes/right_hand_link.STL,,抓手-1,坐标系9,基准轴9,right_hand_joint,prismatic,0.18,0.001,0.0145,0,0,0,arm_link2,0,0,1,0,0,0,0,,,,,,,,
camera_link,0.0051963091212478,0.0231388299116741,0.000136058377513203,0,0,0,0.00531790397374196,1.52066576651047E-06,3.47294429413884E-08,4.41884253847123E-20,6.37282966087748E-07,-1.6205543599987E-21,9.66439632475626E-07,0,0,0,0,0,0,package://uam_v4/meshes/camera_link.STL,0.752941176470588,0.752941176470588,0.752941176470588,1,0,0,0,0,0,0,package://uam_v4/meshes/camera_link.STL,,摄像头^无人机_3自由度机械臂v4_urdf-1,坐标系8,基准轴8,camera_joint,fixed,0.09,0.018,0.007,0,0,0,arm_link2,0,0,0,,,,,,,,,,,,
